id,xxx,prediction
0,MAL944N3R,clust14
1,2P070I351,clust14
2,LPAXLZS35,clust1
3,2IUMVXWR8,clust1
4,IYMKO9LF4,clust15
5,017MQ4ZTB,clust15
6,6CJFVPO4U,clust2
7,P86LCJZFV,clust2
8,LBTT9SRNJ,clust3
9,DYH3UPRT6,clust3
10,JZ6Q6V0R5,clust17
11,T250BTXXU,clust17
12,IFX93GJK8,clust2
13,OSPYXC9U4,clust2
14,A7TW4V5CD,clust1
15,B6FEXDXUO,clust1
16,ZYFR256H1,clust6
17,3JSN2VWV7,clust6
18,Q37JRFXTW,clust2
19,28M7DYGEP,clust4
20,PZNPQ46RS,clust4
21,UBUXH9NLV,clust6
22,9FUNHOUC1,clust6
23,VWYSAPVHO,clust2
24,QJ5DSH3NY,clust9
25,QDXK2JS22,clust1
26,IXX3IKOLV,clust1
27,QLEGK1JTE,clust1
28,21WBF7ZRC,clust14
29,55ZLDFLEC,clust14
30,A8NJNTUAP,clust2
31,L50Q4BX30,clust2
32,1ZNPP2DQE,clust16
33,NLMNS6ZBE,clust22
34,MN3WX5TYR,clust6
35,SLTDQXECZ,clust6
36,HCBBUEXAT,clust1
37,FZ3B6KUNV,clust1
38,SN8IXBGNC,clust1
39,U95UK89JI,clust2
40,YWRQWOGXY,clust2
41,C7D87FBF8,clust6
42,HX89G50GS,clust6
43,N837YTFXG,clust3
44,9RVD407AX,clust9
45,FJMB2DUMK,clust14
46,JZCDWEAFX,clust14
47,Q1AIGEI4G,clust6
48,QLKMDFD8J,clust2
49,D27WFS9HE,clust14
50,JGZKYHQQ8,clust2
51,ICWF42WLO,clust2
52,MWXMABNZK,clust14
53,W4T6O8VCZ,clust2
54,DRDJGTRDZ,clust2
55,N2YG5HP59,clust5
56,M79RIKP8D,clust5
57,33M5Q585D,clust1
58,00SK4UT8M,clust1
59,EBAGR7X75,clust2
60,DBFCCYYS4,clust2
61,KD322MLPI,clust14
62,PMYWGHUJG,clust1
63,8EWRF1FAR,clust4
64,DAML1TID0,clust4
65,WCCA61EH1,clust5
66,CMUEVJW0P,clust5
67,H4T9MGXW6,clust1
68,00F9SUPIE,clust1
69,M7CXWXMI8,clust6
70,W6KAUB60U,clust6
71,CT81VZQHM,clust2
72,A38G94T89,clust1
73,9TO1710J1,clust2
74,VU8K4HIKU,clust2
75,1SIOSK3RQ,clust1
76,9EGN42LFZ,clust1
77,6CLGIDKDE,clust2
78,DESG1GPOI,clust7
79,OQNZ7MT3K,clust7
80,3AOMVJBWC,clust5
81,ZR6UKXQT7,clust1
82,SPXYNOXP8,clust2
83,R6EFWUJ57,clust15
84,KUBMFWFWK,clust15
85,7A2M7R91A,clust1
86,9J54DZNB2,clust2
87,6PNOSRLW5,clust2
88,4XQ7K0KZ4,clust11
89,2PIOEK39W,clust11
90,8VO3K0A4V,clust2
91,WQ5WOSPR2,clust2
92,AM1HY9ZZF,clust1
93,G5E6EIY5Y,clust1
94,ER0BXUH1P,clust6
95,CIIY6FYTC,clust6
96,NTXRP29S4,clust14
97,U20T1HOBI,clust13
98,0E8P6F42T,clust13
99,4I5BTPI3U,clust2
100,4WEL1FJC8,clust13
101,0UK1EIE7N,clust19
102,QV99CFKKN,clust19
103,7XINWEX8P,clust2
