id,xxx,prediction
0,MAL944N3R,cluster14
1,2P070I351,cluster14
2,LPAXLZS35,cluster4
3,2IUMVXWR8,cluster4
4,IYMKO9LF4,cluster18
5,017MQ4ZTB,cluster18
6,6CJFVPO4U,cluster3
7,P86LCJZFV,cluster3
8,LBTT9SRNJ,cluster8
9,DYH3UPRT6,cluster8
10,JZ6Q6V0R5,cluster12
11,T250BTXXU,cluster3
12,IFX93GJK8,cluster3
13,OSPYXC9U4,cluster3
14,A7TW4V5CD,cluster4
15,B6FEXDXUO,cluster4
16,ZYFR256H1,cluster6
17,3JSN2VWV7,cluster6
18,Q37JRFXTW,cluster3
19,28M7DYGEP,cluster1
20,PZNPQ46RS,cluster9
21,UBUXH9NLV,cluster6
22,9FUNHOUC1,cluster6
23,VWYSAPVHO,cluster1
24,QJ5DSH3NY,cluster1
25,QDXK2JS22,cluster4
26,IXX3IKOLV,cluster4
27,QLEGK1JTE,cluster4
28,21WBF7ZRC,cluster14
29,55ZLDFLEC,cluster14
30,A8NJNTUAP,cluster3
31,L50Q4BX30,cluster3
32,1ZNPP2DQE,cluster17
33,NLMNS6ZBE,cluster17
34,MN3WX5TYR,cluster6
35,SLTDQXECZ,cluster6
36,HCBBUEXAT,cluster4
37,FZ3B6KUNV,cluster4
38,SN8IXBGNC,cluster4
39,U95UK89JI,cluster3
40,YWRQWOGXY,cluster3
41,C7D87FBF8,cluster6
42,HX89G50GS,cluster6
43,N837YTFXG,cluster2
44,9RVD407AX,cluster3
45,FJMB2DUMK,cluster14
46,JZCDWEAFX,cluster14
47,Q1AIGEI4G,cluster6
48,QLKMDFD8J,cluster1
49,D27WFS9HE,cluster14
50,JGZKYHQQ8,cluster3
51,ICWF42WLO,cluster3
52,MWXMABNZK,cluster14
53,W4T6O8VCZ,cluster3
54,DRDJGTRDZ,cluster3
55,N2YG5HP59,cluster3
56,M79RIKP8D,cluster2
57,33M5Q585D,cluster4
58,00SK4UT8M,cluster4
59,EBAGR7X75,cluster3
60,DBFCCYYS4,cluster3
61,KD322MLPI,cluster1
62,PMYWGHUJG,cluster4
63,8EWRF1FAR,cluster4
64,DAML1TID0,cluster1
65,WCCA61EH1,cluster2
