id,xxx,prediction
0,MAL944N3R,cluster15
1,2P070I351,cluster15
2,LPAXLZS35,cluster44
3,2IUMVXWR8,cluster44
4,IYMKO9LF4,cluster9
5,017MQ4ZTB,cluster9
6,6CJFVPO4U,cluster31
7,P86LCJZFV,cluster31
8,LBTT9SRNJ,cluster14
9,DYH3UPRT6,cluster14
10,JZ6Q6V0R5,cluster27
11,T250BTXXU,cluster27
12,IFX93GJK8,cluster31
13,OSPYXC9U4,cluster31
14,A7TW4V5CD,cluster22
15,B6FEXDXUO,cluster22
16,ZYFR256H1,cluster11
17,3JSN2VWV7,cluster11
18,Q37JRFXTW,cluster31
19,28M7DYGEP,cluster7
20,PZNPQ46RS,cluster7
21,UBUXH9NLV,cluster28
22,9FUNHOUC1,cluster28
23,VWYSAPVHO,cluster42
24,QJ5DSH3NY,cluster42
25,QDXK2JS22,cluster22
26,IXX3IKOLV,cluster22
27,QLEGK1JTE,cluster22
28,21WBF7ZRC,cluster15
29,55ZLDFLEC,cluster15
30,A8NJNTUAP,cluster5
31,L50Q4BX30,cluster5
32,1ZNPP2DQE,cluster30
33,NLMNS6ZBE,cluster30
34,MN3WX5TYR,cluster28
35,SLTDQXECZ,cluster28
36,HCBBUEXAT,cluster44
37,FZ3B6KUNV,cluster44
38,SN8IXBGNC,cluster22
39,U95UK89JI,cluster5
40,YWRQWOGXY,cluster16
41,C7D87FBF8,cluster28
42,HX89G50GS,cluster28
43,N837YTFXG,cluster16
44,9RVD407AX,cluster16
45,FJMB2DUMK,cluster15
46,JZCDWEAFX,cluster15
47,Q1AIGEI4G,cluster28
48,QLKMDFD8J,cluster42
49,D27WFS9HE,cluster15
50,JGZKYHQQ8,cluster5
51,ICWF42WLO,cluster5
52,MWXMABNZK,cluster15
53,W4T6O8VCZ,cluster5
54,DRDJGTRDZ,cluster5
55,N2YG5HP59,cluster37
56,M79RIKP8D,cluster37
57,33M5Q585D,cluster46
58,00SK4UT8M,cluster46
59,EBAGR7X75,cluster31
60,DBFCCYYS4,cluster31
61,KD322MLPI,cluster15
62,PMYWGHUJG,cluster22
63,8EWRF1FAR,cluster21
64,DAML1TID0,cluster21
65,WCCA61EH1,cluster37
66,CMUEVJW0P,cluster37
67,H4T9MGXW6,cluster4
68,00F9SUPIE,cluster4
69,M7CXWXMI8,cluster3
70,W6KAUB60U,cluster3
71,CT81VZQHM,cluster31
72,A38G94T89,cluster22
73,9TO1710J1,cluster5
74,VU8K4HIKU,cluster5
75,1SIOSK3RQ,cluster22
76,9EGN42LFZ,cluster22
77,6CLGIDKDE,cluster31
78,DESG1GPOI,cluster6
79,OQNZ7MT3K,cluster6
80,3AOMVJBWC,cluster37
81,ZR6UKXQT7,cluster44
82,SPXYNOXP8,cluster5
83,R6EFWUJ57,cluster2
84,KUBMFWFWK,cluster2
85,7A2M7R91A,cluster46
86,9J54DZNB2,cluster5
87,6PNOSRLW5,cluster5
88,4XQ7K0KZ4,cluster10
89,2PIOEK39W,cluster10
