id,xxx,prediction
0,MAL944N3R,cluster1
1,2P070I351,cluster1
2,LPAXLZS35,cluster1
3,2IUMVXWR8,cluster8
4,IYMKO9LF4,cluster8
5,017MQ4ZTB,cluster5
6,6CJFVPO4U,cluster5
7,P86LCJZFV,cluster9
8,LBTT9SRNJ,cluster1
9,DYH3UPRT6,cluster5
10,JZ6Q6V0R5,cluster4
11,T250BTXXU,cluster7
12,IFX93GJK8,cluster1
13,OSPYXC9U4,cluster7
14,A7TW4V5CD,cluster4
15,B6FEXDXUO,cluster9
16,ZYFR256H1,cluster6
17,3JSN2VWV7,cluster12
18,Q37JRFXTW,cluster9
19,28M7DYGEP,cluster8
20,PZNPQ46RS,cluster5
21,UBUXH9NLV,cluster1
22,9FUNHOUC1,cluster3
23,VWYSAPVHO,cluster1
24,QJ5DSH3NY,cluster1
25,QDXK2JS22,cluster2
26,IXX3IKOLV,cluster5
27,QLEGK1JTE,cluster10
28,21WBF7ZRC,cluster1
29,55ZLDFLEC,cluster6
30,A8NJNTUAP,cluster9
31,L50Q4BX30,cluster11
32,1ZNPP2DQE,cluster14
33,NLMNS6ZBE,cluster4
34,MN3WX5TYR,cluster3
35,SLTDQXECZ,cluster2
36,HCBBUEXAT,cluster2
37,FZ3B6KUNV,cluster5
38,SN8IXBGNC,cluster1
39,U95UK89JI,cluster8
40,YWRQWOGXY,cluster1
41,C7D87FBF8,cluster9
42,HX89G50GS,cluster1
43,N837YTFXG,cluster6
44,9RVD407AX,cluster5
45,FJMB2DUMK,cluster8
46,JZCDWEAFX,cluster2
47,Q1AIGEI4G,cluster4
48,QLKMDFD8J,cluster8
49,D27WFS9HE,cluster12
50,JGZKYHQQ8,cluster13
51,ICWF42WLO,cluster1
52,MWXMABNZK,cluster4
53,W4T6O8VCZ,cluster12
54,DRDJGTRDZ,cluster7
55,N2YG5HP59,cluster11
56,M79RIKP8D,cluster4
57,33M5Q585D,cluster4
58,00SK4UT8M,cluster2
59,EBAGR7X75,cluster7
60,DBFCCYYS4,cluster7
61,KD322MLPI,cluster3
62,PMYWGHUJG,cluster12
63,8EWRF1FAR,cluster7
64,DAML1TID0,cluster2
