id,xxx,prediction
0,MAL944N3R,cluster10
1,2P070I351,cluster10
2,LPAXLZS35,cluster2
3,2IUMVXWR8,cluster2
4,IYMKO9LF4,cluster36
5,017MQ4ZTB,cluster36
6,6CJFVPO4U,cluster20
7,P86LCJZFV,cluster20
8,LBTT9SRNJ,cluster4
9,DYH3UPRT6,cluster4
10,JZ6Q6V0R5,cluster19
11,T250BTXXU,cluster19
12,IFX93GJK8,cluster20
13,OSPYXC9U4,cluster20
14,A7TW4V5CD,cluster2
15,B6FEXDXUO,cluster2
16,ZYFR256H1,cluster12
17,3JSN2VWV7,cluster12
18,Q37JRFXTW,cluster20
19,28M7DYGEP,cluster3
20,PZNPQ46RS,cluster3
21,UBUXH9NLV,cluster7
22,9FUNHOUC1,cluster7
23,VWYSAPVHO,cluster20
24,QJ5DSH3NY,cluster20
25,QDXK2JS22,cluster2
26,IXX3IKOLV,cluster2
27,QLEGK1JTE,cluster2
28,21WBF7ZRC,cluster10
29,55ZLDFLEC,cluster10
30,A8NJNTUAP,cluster5
31,L50Q4BX30,cluster5
32,1ZNPP2DQE,cluster26
33,NLMNS6ZBE,cluster26
34,MN3WX5TYR,cluster7
35,SLTDQXECZ,cluster7
36,HCBBUEXAT,cluster2
37,FZ3B6KUNV,cluster2
38,SN8IXBGNC,cluster2
39,U95UK89JI,cluster5
40,YWRQWOGXY,cluster5
41,C7D87FBF8,cluster7
42,HX89G50GS,cluster7
43,N837YTFXG,cluster4
44,9RVD407AX,cluster4
45,FJMB2DUMK,cluster10
46,JZCDWEAFX,cluster10
47,Q1AIGEI4G,cluster7
48,QLKMDFD8J,cluster20
49,D27WFS9HE,cluster10
50,JGZKYHQQ8,cluster5
51,ICWF42WLO,cluster5
52,MWXMABNZK,cluster10
53,W4T6O8VCZ,cluster5
54,DRDJGTRDZ,cluster5
55,N2YG5HP59,cluster18
56,M79RIKP8D,cluster18
57,33M5Q585D,cluster2
58,00SK4UT8M,cluster2
59,EBAGR7X75,cluster20
60,DBFCCYYS4,cluster20
61,KD322MLPI,cluster10
62,PMYWGHUJG,cluster2
63,8EWRF1FAR,cluster3
64,DAML1TID0,cluster3
65,WCCA61EH1,cluster18
66,CMUEVJW0P,cluster18
67,H4T9MGXW6,cluster2
68,00F9SUPIE,cluster2
69,M7CXWXMI8,cluster12
70,W6KAUB60U,cluster12
71,CT81VZQHM,cluster20
72,A38G94T89,cluster2
73,9TO1710J1,cluster5
74,VU8K4HIKU,cluster5
75,1SIOSK3RQ,cluster2
76,9EGN42LFZ,cluster2
77,6CLGIDKDE,cluster20
78,DESG1GPOI,cluster6
79,OQNZ7MT3K,cluster9
80,3AOMVJBWC,cluster18
81,ZR6UKXQT7,cluster2
82,SPXYNOXP8,cluster5
83,R6EFWUJ57,cluster30
84,KUBMFWFWK,cluster30
85,7A2M7R91A,cluster2
86,9J54DZNB2,cluster5
87,6PNOSRLW5,cluster5
88,4XQ7K0KZ4,cluster8
89,2PIOEK39W,cluster8
90,8VO3K0A4V,cluster20
91,WQ5WOSPR2,cluster20
92,AM1HY9ZZF,cluster2
93,G5E6EIY5Y,cluster2
94,ER0BXUH1P,cluster7
95,CIIY6FYTC,cluster7
96,NTXRP29S4,cluster10
97,U20T1HOBI,cluster19
98,0E8P6F42T,cluster19
99,4I5BTPI3U,cluster20
100,4WEL1FJC8,cluster19
101,0UK1EIE7N,cluster23
102,QV99CFKKN,cluster23
103,7XINWEX8P,cluster20
104,4NAVDNPBG,cluster1
105,2OOGRPW7I,cluster36
106,PUNM7CED7,cluster3
107,JAHZ2S8RS,cluster3
108,27FLMZ4FU,cluster36
109,X13HPGM1A,cluster11
110,J9W1YQQVX,cluster11
111,M80Z17WRZ,cluster30
112,FDNF85AG3,cluster10
113,9B7N4GELX,cluster6
114,AHFNG5I4S,cluster6
115,TCPXODIXU,cluster1
116,7NCV2WZ9N,cluster1
117,KABHQO8NF,cluster9
118,AZXGTEGIK,cluster9
119,MY1O6518R,cluster2
120,MB191I9EC,cluster2
121,XXNH3JJVK,cluster2
122,OJ5PQDQUW,cluster2
123,6HULUHKMX,cluster2
124,R6V1TNN7B,cluster2
125,7WEV0ZEB8,cluster2
126,XISFL3YUG,cluster6
127,30FRMZYF9,cluster5
128,WJLUI16NL,cluster3
129,M9SW83497,cluster3
130,6CD6417QN,cluster5
131,ZJSOJ58C3,cluster5
132,XI2CS5HAU,cluster5
133,B1YGO6HY5,cluster11
134,37YO8EC7I,cluster11
135,06SPYT6SI,cluster8
136,SLV0YAQJD,cluster8
137,NEQQJQLMX,cluster2
138,QKTKWITVY,cluster2
139,D07O9SC39,cluster5
140,4D9LE0URH,cluster5
141,WEDFFKDV9,cluster26
142,6FMQC45LR,cluster26
143,HXEDAYCK4,cluster19
144,GCP8I5V5Z,cluster19
145,7CFUO3TTO,cluster7
146,BIH11LGQT,cluster7
147,5NWE9939I,cluster19
148,0TNSH90RC,cluster2
149,L5ZBXMDFM,cluster5
150,PWW6BD5J1,cluster5
151,GPJKNUQVI,cluster4
152,VIUD8PJ2B,cluster4
153,0TS3YTURI,cluster18
154,7YILPSOR5,cluster2
155,SJFPKKUP3,cluster3
156,62F1O3JOL,cluster3
157,NCJQPS7R8,cluster5
158,PF8568C0P,cluster3
159,23CMQO02D,cluster3
160,P92KHSCR9,cluster4
161,BKTQSOYUT,cluster4
162,Q7XV1H4NJ,cluster12
163,JPIE0G45N,cluster8
164,XGBF3U7ED,cluster5
165,ZLMP694S2,cluster5
166,NFOW326ZP,cluster11
167,93QRG8MC3,cluster11
168,TZDJVCWYI,cluster10
169,N7Z0CMBBV,cluster4
170,Y50UUF1BF,cluster4
171,N9WZIHAHL,cluster7
172,M17PZO0LV,cluster7
173,WBCU2I5M5,cluster7
174,W62U4S9K0,cluster8
175,E4QULMSGB,cluster5
176,ERW4WTC2U,cluster5
177,JB3JJ9PCY,cluster3
178,ZU6DIC1W4,cluster3
179,SJ8QBGE8I,cluster22
180,URKNTTCHQ,cluster22
181,BZANIWG4T,cluster8
182,65BPO4J8N,cluster11
183,0IY0TWDEE,cluster10
184,XYWTWP7AP,cluster10
185,RUN3U9FDF,cluster2
186,YRBTIVKDS,cluster2
187,KFFYJ83IG,cluster11
188,5SXEP0WKI,cluster11
189,AKZF7OC2N,cluster19
190,7QQLMOT8Z,cluster19
191,N2FOPRLZ9,cluster5
192,8AUEFDGUY,cluster3
193,LEC6317S4,cluster3
194,TXSUAB058,cluster9
195,VVW0CF2P9,cluster9
196,VF4AYYH7U,cluster2
197,ZIXYHD5EM,cluster32
198,VM0HYDI1A,cluster32
199,9APULMSM6,cluster35
200,HFFZL47FF,cluster35
201,9X358TFYA,cluster5
202,0NCC0YI6F,cluster32
203,EUG4PK2AG,cluster32
204,5L4613R0F,cluster20
205,CEIRCYRSG,cluster2
206,1TIT6QD69,cluster2
207,P2IX1394Z,cluster3
208,D69XQBUC1,cluster23
209,LJ49H6XDQ,cluster4
210,0MOVLUNHE,cluster4
211,WQD8F0OC3,cluster2
212,NL6GPHWMS,cluster2
213,05QASMQVD,cluster5
214,8YROK63YG,cluster4
215,455ENEIP0,cluster4
216,RWG1I5ZO8,cluster5
217,VB74OMFU7,cluster5
218,DZR84R00R,cluster8
219,P6W0IAN91,cluster8
220,S58A8ZKA2,cluster5
221,8M8AMIVK1,cluster36
222,BFIGXUL23,cluster5
223,U1UZCMXC0,cluster23
224,ZNE8CX26J,cluster23
225,IXVZCMGBJ,cluster2
226,J20JO79EW,cluster2
227,EARBVAFK3,cluster7
228,KJ2FIFE0U,cluster7
229,9WYECR5DV,cluster2
230,W4EFPUG6F,cluster33
231,A3UG14R86,cluster33
232,11B5KCEFB,cluster3
233,EX4EK5H91,cluster3
234,XWRE600NK,cluster5
235,4G7VWTPRJ,cluster2
236,DZHTPUTP1,cluster15
237,QLXZEGRSL,cluster21
238,JGE2HRFPU,cluster21
239,37RLD2ML9,cluster20
240,U26SKSQG2,cluster35
241,MFQ4622VP,cluster3
242,1G7S047H0,cluster3
243,M3YOVE3HM,cluster5
244,E1Z1KLTJN,cluster9
245,HVDYNMC2W,cluster9
246,H1KKE2PL1,cluster5
247,UYAJIF26P,cluster20
248,3YALIU3WG,cluster10
249,7MCAD9DVJ,cluster5
250,2YW6ZSV78,cluster6
251,LBXY2XIQG,cluster6
252,W9UWPXWOW,cluster3
